date,tests,cas,contact,importe,communautaire,total,gueri,mort,evacue,grave
2020-10-22,899,24,12,7,5,15508,14026,321,1,5
2020-10-21,1010,25,7,5,13,15484,13975,321,1,5
2020-10-20,816,27,0,18,9,15459,13922,320,1,6
2020-10-19,829,14,3,7,4,15432,13865,319,1,5
2020-10-18,1156,26,7,3,16,15418,13814,317,1,6
2020-10-17,982,24,11,3,10,15392,13756,317,1,6
2020-10-16,1084,20,5,1,14,15368,13704,317,1,7
2020-10-15,1105,17,5,5,7,15348,13637,316,1,7
2020-10-14,1293,24,1,6,17,15331,13571,316,1,5
2020-10-13,924,15,2,6,7,15307,13508,315,1,5
2020-10-12,639,24,8,7,9,15292,13390,315,1,6
2020-10-11,1091,24,5,1,18,15268,13297,314,1,6
2020-10-10,1177,31,16,2,13,15244,13198,314,1,6
2020-10-9,1059,23,10,2,11,15213,13136,313,1,5
2020-10-8,987,16,3,2,11,15190,13068,313,1,3
2020-10-7,1042,33,10,7,16,15174,12998,313,1,4
2020-10-6,777,19,3,7,9,15141,12936,312,1,7
2020-10-5,929,28,3,14,11,15122,12870,312,1,6
2020-10-4,1131,26,8,1,17,15094,12805,312,1,7
2020-10-3,1337,17,7,0,10,15068,12751,312,1,9
2020-10-2,1213,32,5,4,23,15051,12694,312,1,8
2020-10-1,1351,37,19,5,13,15019,12538,311,1,6
2020-09-30,1266,37,15,0,22,14982,12437,311,1,5
2020-09-29,920,26,7,8,11,14945,12335,310,1,8
2020-09-28,929,10,3,1,6,14919,12231,309,1,13
2020-09-27,1295,40,10,1,29,14909,12113,308,1,13
2020-09-26,1141,30,9,3,18,14869,12028,306,1,15
2020-09-25,1170,23,7,1,15,14839,11910,304,1,18
2020-09-24,1055,21,8,1,12,14816,11818,304,1,24
2020-09-23,1005,36,10,0,26,14795,11718,303,1,23
2020-09-22,853,21,5,6,10,14759,11621,302,1,23
2020-09-21,997,24,15,0,9,14738,11458,302,1,26
2020-09-20,1224,26,10,4,12,14714,11260,302,1,27
2020-09-19,1334,43,15,2,26,14688,11153,302,1,27
2020-09-18,1154,27,08,0,19,14645,11051,301,1,29
2020-09-17,1312,50,27,0,23,14618,10923,300,1,31
2020-09-16,1169,39,21,0,18,14568,10756,299,1,31
2020-09-15,727,15,09,209,5,14529,10692,298,1,28
2020-09-14,852,26,09,0,17,14306,10563,297,1,32
2020-09-13,1206,43,16,2,25,14280,10520,297,1,32
2020-09-12,1093,44,26,1,17,14237,10373,295,1,34
2020-09-11,1261,43,22,4,17,14193,10350,293,1,30
2020-09-10,933,48,27,1,20,14150,10207,293,1,34
2020-09-9,1317,58,36,1,21,14102,10176,293,1,34
2020-09-8,788,30,18,1,11,14044,10088,292,1,36
2020-09-7,1052,27,17,0,10,14014,10037,291,1,36
2020-09-6,1166,39,15,0,24,13987,9922,290,1,33
2020-09-5,1313,67,27,0,40,13948,9851,290,1,33
2020-09-4,1346,55,31,0,24,13881,9723,289,1,33
2020-09-3,1032,83,42,0,41,13826,9553,287,1,33
2020-09-2,1187,88,42,1,45,13743,9506,287,1,33
2020-09-1,944,44,25,1,18,13655,9484,284,1,31
2020-08-31,1090,55,34,3,18,13611,9439,284,1,36
2020-08-30,1276,100,60,2,38,13556,9388,284,1,36
2020-08-29,1328,72,39,1,32,13456,9233,282,1,42
2020-08-28,1250,90,50,0,40,13384,9091,279,1,44
2020-08-27,1242,108,59,0,49,13294,8974,277,1,43
2020-08-26,1384,130,74,1,55,13186,8852,275,1,43
2020-08-25,816,43,29,0,14,13056,8715,274,1,43
2020-08-24,812,64,36,0,28,13013,8595,272,1,45
2020-08-23,1250,99,36,1,62,12949,8455,269,1,37
2020-08-22,1552,161,100,0,61,12850,8333,266,1,38
2020-08-21,1421,130,55,2,73,12689,8165,262,1,38
2020-08-20,1519,113,53,1,59,12559,8050,261,1,39
2020-08-19,1463,141,58,0,83,12446,7877,258,1,55
2020-08-18,926,68,41,2,25,12305,7767,256,1,55
2020-08-17,1049,75,37,0,38,12237,7728,256,1,55
2020-08-16,1317,130,67,0,63,12162,7677,253,1,53
2020-08-15,1886,160,67,2,91,12032,7637,251,1,57
2020-08-14,1952,132,52,0,80,11872,7615,249,1,55
2020-08-13,1730,153,47,0,106,11740,7572,244,1,51
2020-08-12,1842,207,92,0,115,11587,7523,242,1,49
