DATE,BAKEL,BAMBEY,BIGNONA,BIRKELANE,BOUNKILING,DAGANA,DAKAR,DIOURBEL,FATICK,FOUNDIOUGNE,GOSSAS,GOUDIRY,GOUDOMP,GUÉDIAWAYE,GUINGUINEO,KAFFRINE,KANEL,KAOLACK,KÉBÉMER,KÉDOUGOU,KOLDA,KOUMPENTOUM,KOUNGHEUL,LINGUÈRE,LOUGA,MALEM HODAR,MATAM,MBACKÉ,MBOUR,MEDINA YORO FOULA,NIORO DU RIP,OUSSOUYE,PIKINE,PODOR,RANÉROU,RUFISQUE,SAINT LOUIS,SALEMATA,SARAYA,SÉDHIOU,TAMBACOUNDA,THIÈS,TIVAOUANE,VÉLINGARA,ZIGUINCHOR
2020-05-25,0,0,2,0,0,1,1710,1,3,0,0,63,0,124,0,0,0,5,0,1,0,0,0,6,32,0,0,350,27,0,1,1,263,0,0,179,6,0,0,104,22,137,4,70,17
2020-05-26,0,0,2,0,0,1,1735,1,3,0,0,63,0,124,0,0,0,5,0,1,0,0,0,6,32,0,0,354,27,0,4,1,263,0,0,179,6,0,0,104,22,137,4,70,17
2020-05-27,0,0,2,0,0,1,1813,1,3,0,0,63,0,129,0,0,0,5,0,1,0,0,0,6,32,0,0,362,27,0,4,1,263,0,0,179,6,0,0,104,22,137,4,70,18
2020-05-28,0,0,2,0,0,1,1856,1,3,0,0,63,0,138,0,0,0,5,0,1,0,0,0,6,32,0,0,366,27,0,4,1,282,0,0,185,6,0,0,104,22,137,4,70,32
2020-05-29,0,0,2,0,0,1,1920,1,3,0,0,63,0,138,0,0,0,5,0,1,0,0,0,6,32,0,0,373,27,0,4,1,282,0,0,188,6,0,0,104,22,138,4,70,38
2020-05-30,0,0,2,0,0,1,2013,1,3,0,0,63,0,139,0,0,0,5,0,1,0,0,1,6,32,0,0,381,27,0,4,1,282,0,0,188,6,0,0,104,22,138,5,70,40
2020-05-31,0,0,2,0,0,1,2053,2,3,0,0,63,0,156,0,0,0,5,0,1,0,0,2,6,32,0,0,397,27,0,4,1,301,0,0,201,6,0,0,104,22,141,5,70,40
2020-06-01,0,0,2,0,0,1,2103,2,3,0,0,63,0,165,0,0,0,6,0,1,0,0,2,6,32,0,0,401,34,0,4,1,310,0,1,207,6,0,0,104,22,141,12,70,40
2020-06-02,0,0,12,0,0,1,2174,2,3,0,0,63,0,165,0,0,0,6,0,1,0,0,2,6,32,0,0,410,35,0,4,1,310,0,1,207,6,0,0,104,22,142,13,70,44
2020-06-03,0,0,12,1,0,1,2237,3,3,0,0,63,0,166,0,0,0,6,1,1,0,0,2,6,32,0,0,415,39,0,4,1,318,0,1,216,6,0,0,104,22,143,15,70,44
2020-06-04,0,0,12,1,0,1,2300,3,4,0,0,63,0,167,0,0,0,6,1,1,0,0,2,6,32,0,3,416,39,0,4,1,324,0,1,227,6,0,0,104,22,144,17,70,44
2020-06-05,0,0,12,1,6,1,2359,4,4,0,0,63,0,175,0,0,0,7,1,1,0,0,2,6,32,0,4,430,45,0,4,4,339,0,1,242,6,0,0,104,22,145,20,70,44
2020-06-06,0,0,12,1,6,1,2411,4,4,0,0,63,0,180,0,0,0,7,1,1,0,0,2,6,32,0,4,440,47,0,4,4,354,0,1,246,6,0,0,105,22,145,21,70,44
2020-06-08,0,0,12,1,8,1,2516,4,4,0,0,63,0,191,0,0,0,7,1,1,0,0,2,6,32,0,4,445,50,0,4,4,390,0,1,256,6,0,0,108,22,149,22,70,47
2020-06-09,0,0,12,1,8,1,2561,4,4,0,0,63,0,196,0,0,0,7,1,1,0,0,2,6,32,0,4,456,55,0,4,4,403,0,1,264,6,0,0,108,22,149,22,70,48
2020-06-10,0,0,12,1,9,1,2651,4,4,0,0,63,0,199,0,0,0,7,1,1,0,0,2,6,32,0,8,462,56,0,4,5,411,0,1,272,6,0,0,108,22,149,22,70,50
2020-06-11,0,0,12,1,9,2,2683,4,4,0,0,63,0,218,0,0,0,8,1,1,0,0,3,6,32,0,8,467,58,0,4,6,447,0,1,291,6,0,0,108,22,152,22,70,50
2020-06-12,0,0,12,1,9,2,2763,4,4,0,0,63,0,218,0,0,0,8,2,1,0,0,3,6,32,0,10,474,58,0,4,6,447,0,1,291,6,0,0,108,22,153,22,70,51
2020-06-13,0,0,12,1,10,2,2834,5,4,0,0,63,0,231,0,0,0,15,2,1,0,0,3,6,32,0,11,485,60,0,4,6,460,0,1,301,6,0,0,108,22,160,23,70,58
2020-06-14,0,0,12,1,10,2,2924,5,4,0,0,63,0,231,0,0,0,15,2,1,0,0,3,6,32,0,11,487,60,0,4,6,460,0,1,301,6,0,0,108,22,161,23,70,58
