DATE,BAKEL,BAMBEY,BIGNONA,BIRKELANE,BOUNKILING,DAGANA,DAKAR,DIOURBEL,FATICK,FOUNDIOUGNE,GOSSAS,GOUDIRY,GOUDOMP,GUÉDIAWAYE,GUINGUINEO,KAFFRINE,KANEL,KAOLACK,KÉBÉMER,KÉDOUGOU,KOLDA,KOUMPENTOUM,KOUNGHEUL,LINGUÈRE,LOUGA,MALEM HODAR,MATAM,MBACKÉ,MBOUR,MEDINA YORO FOULA,NIORO DU RIP,OUSSOUYE,PIKINE,PODOR,RANÉROU,RUFISQUE,SAINT LOUIS,SALEMATA,SARAYA,SÉDHIOU,TAMBACOUNDA,THIÈS,TIVAOUANE,VÉLINGARA,ZIGUINCHOR
2020-05-25,0,0,0,0,0,0,985,0,2,0,0,0,0,51,0,0,0,1,0,1,0,0,0,6,0,0,0,79,11,0,1,0,213,0,0,152,0,0,0,22,19,73,2,8,2
2020-05-26,0,0,0,0,0,0,985,0,2,0,0,0,0,43,0,0,0,1,0,1,0,0,0,6,0,0,0,79,11,0,1,0,213,0,0,152,0,0,0,22,19,73,2,8,2
2020-05-27,0,0,0,0,0,0,1063,0,2,0,0,0,0,55,0,0,0,1,0,1,0,0,0,6,0,0,0,87,11,0,1,0,213,0,0,152,0,0,0,22,19,73,2,8,3
2020-05-28,0,0,0,0,0,0,1140,0,2,0,0,0,0,55,0,0,0,1,0,1,0,0,0,1,0,0,0,91,11,0,1,0,213,0,0,152,0,0,0,22,19,73,2,8,17
2020-05-29,0,0,0,0,0,0,1024,0,2,0,0,0,0,237,0,0,0,1,0,1,0,0,0,1,0,0,0,84,10,0,1,0,213,0,0,152,0,0,0,9,6,75,1,9,25
2020-05-30,0,0,0,0,0,0,1096,0,1,0,0,0,0,238,0,0,0,1,0,1,0,0,1,1,0,0,0,92,10,0,1,0,213,0,0,152,0,0,0,9,6,74,2,9,27
2020-05-31,0,0,0,0,0,0,1157,1,1,0,0,0,0,98,0,0,0,1,0,1,0,0,2,1,0,0,0,100,10,0,1,0,213,0,0,152,0,0,0,9,5,74,2,9,27
2020-06-01,0,0,0,0,0,0,1166,1,0,0,0,0,0,107,0,0,0,2,0,1,0,0,2,1,0,0,0,104,17,0,1,0,158,0,1,156,0,0,0,8,5,66,9,6,27
2020-06-02,0,0,10,0,0,0,1151,1,0,0,0,0,0,107,0,0,0,2,0,1,0,0,2,1,0,0,0,110,18,0,1,0,158,0,1,156,0,0,0,8,2,66,10,6,28
2020-06-03,0,0,10,1,0,0,1127,2,0,0,0,0,0,107,0,0,0,2,1,1,0,0,2,1,0,0,0,115,22,0,1,0,158,0,1,156,0,0,0,5,2,66,12,6,28
2020-06-04,0,0,10,1,0,0,1135,2,1,0,0,0,0,107,0,0,0,2,1,1,0,0,2,0,0,0,3,107,22,0,1,0,158,0,1,156,0,0,0,5,0,56,14,6,28
2020-06-05,0,0,10,1,6,0,1126,3,1,0,0,0,0,107,0,0,0,3,1,1,0,0,2,0,0,0,4,116,28,0,1,3,158,0,1,156,0,0,0,3,0,57,17,6,28
2020-06-06,0,0,10,1,6,0,970,3,1,0,0,0,0,107,0,0,0,3,1,1,0,0,2,0,0,0,4,124,30,0,1,3,158,0,1,156,0,0,0,4,0,57,18,3,28
2020-06-08,0,0,10,1,8,0,1006,3,1,0,0,0,0,107,0,0,0,3,1,0,0,0,2,0,0,0,4,8,33,0,1,3,158,0,1,156,0,0,0,7,0,37,19,3,24
2020-06-09,0,0,10,1,8,0,978,3,1,0,0,0,0,107,0,0,0,3,1,0,0,0,2,0,0,0,4,19,33,0,1,3,158,0,1,156,0,0,0,5,0,34,19,3,25
2020-06-10,0,0,10,1,9,0,1016,3,1,0,0,0,0,107,0,0,0,3,1,0,0,0,2,0,0,0,8,21,34,0,1,4,158,0,1,156,0,0,0,5,0,34,19,2,27
2020-06-11,0,0,0,0,10,10,1,1,9,9,1,1,1042,1042,3,3,1,1,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,8,20,20,36,36,0,0,1,1,5,5,158,158,0,0,1,1,156,156,0,0,0,0,0,0,3,3,0,0,16,16,19,19,2,2,27,27
2020-06-12,0,0,10,1,9,1,1051,3,1,0,0,0,0,107,0,0,0,2,1,0,0,0,3,0,0,0,10,19,36,0,1,5,158,0,1,156,0,0,0,3,0,6,19,1,15
2020-06-13,0,0,10,1,10,1,1038,4,1,0,0,0,0,107,0,0,0,9,1,0,0,0,3,0,0,0,11,26,38,0,1,5,158,0,1,156,0,0,0,2,0,11,20,1,22
2020-06-14,0,0,8,1,10,1,1022,4,1,0,0,0,0,107,0,0,0,9,1,0,0,0,3,0,0,0,11,26,38,0,1,5,158,0,1,156,0,0,0,2,0,12,20,1,22
2020-06-15,0,0,8,1,10,2,1008,5,2,0,0,0,0,107,0,0,0,11,1,0,0,0,3,0,0,0,9,32,39,0,1,5,158,0,1,156,0,0,0,2,0,14,25,1,22
2020-06-16,0,0,8,0,10,2,975,6,2,0,1,0,0,107,0,0,0,11,1,0,0,0,3,0,0,0,9,35,39,0,1,5,158,0,1,156,0,0,0,2,0,15,29,1,20
2020-06-17,0,1,8,0,4,3,1012,6,4,0,1,0,0,107,0,0,0,10,1,0,0,0,3,0,0,0,11,39,39,0,1,6,158,0,1,156,0,0,0,2,0,15,29,1,20
2020-06-18,0,1,8,0,10,3,997,6,4,0,2,0,0,107,0,0,0,11,1,0,0,0,3,0,0,0,11,36,39,0,1,6,158,0,1,156,0,0,0,2,0,21,41,0,15
2020-06-19,0,1,8,0,6,3,1059,7,10,0,2,0,0,107,0,0,0,11,0,0,0,0,0,0,0,0,10,35,44,0,1,6,158,0,1,156,0,0,0,2,0,25,54,0,26
2020-06-20,0,1,8,0,6,3,1119,8,11,1,2,0,0,107,0,0,0,12,0,0,0,0,0,0,0,0,11,20,45,0,1,6,158,0,1,156,0,0,0,2,0,34,66,0,27
2020-06-21,0,1,8,0,6,3,1153,9,11,1,2,0,0,107,0,0,0,13,0,0,0,0,0,0,0,0,7,21,47,0,1,6,158,0,1,156,0,0,0,2,0,34,76,0,29
2020-06-22,0,1,8,0,6,3,1166,15,13,1,2,0,0,107,0,0,0,18,0,0,0,0,0,0,0,0,7,22,49,0,1,6,158,0,1,156,0,0,0,2,0,37,83,0,37
2020-06-23,0,1,8,0,6,3,1123,15,13,1,2,0,0,107,0,0,0,21,0,0,0,0,0,0,0,0,6,24,54,0,1,6,158,0,1,156,0,0,0,2,0,39,87,0,37
2020-06-24,0,1,11,0,6,2,1181,16,13,1,2,0,0,107,0,0,1,21,0,0,0,0,0,0,0,0,6,22,54,0,1,6,158,0,1,156,0,0,0,2,0,40,87,1,44
2020-06-25,0,1,10,0,6,2,1181,16,13,1,2,0,0,107,0,0,1,21,0,0,0,0,0,0,0,0,6,24,57,0,1,6,158,0,1,156,0,0,0,1,1,45,87,1,49
2020-06-26,0,1,10,0,6,2,1249,19,16,1,2,0,0,107,0,0,1,26,0,0,0,0,0,0,0,0,3,21,63,0,1,6,158,0,1,156,0,0,0,1,1,50,89,1,53
2020-06-27,0,1,10,0,6,8,1270,19,18,1,2,0,0,107,0,0,1,26,0,0,0,0,0,0,0,0,3,23,64,0,1,6,158,0,1,156,1,0,0,1,1,48,101,1,53
2020-06-28,0,1,11,0,6,8,1348,22,18,1,2,0,0,107,0,1,2,28,0,0,0,0,0,0,0,0,1,24,58,0,1,6,158,0,1,156,3,0,0,1,1,50,106,1,56
2020-06-29,0,1,11,0,6,5,1370,23,20,1,2,0,0,107,0,0,2,28,0,0,0,0,0,0,0,0,1,25,53,0,1,6,158,0,1,156,4,0,0,1,2,92,109,1,56
2020-06-30,0,1,11,0,6,5,1324,33,20,1,2,0,0,107,0,0,2,30,0,0,0,0,0,0,0,0,1,25,55,0,1,7,158,0,1,156,5,0,0,1,2,120,116,1,56
2020-07-01,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-02,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-03,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-04,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-05,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-06,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-07,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-08,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-09,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-10,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-11,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-12,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-13,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-14,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-15,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-16,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-17,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-18,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-19,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-20,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-21,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-22,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-23,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-24,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-25,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-26,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-28,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-07-30,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-08-02,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-08-04,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-08-05,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-08-07,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
2020-08-09,0,1,16,0,6,2,1319,33,21,1,2,0,0,107,0,0,2,33,0,0,0,0,0,0,0,0,1,33,56,0,1,7,158,0,1,156,5,0,0,1,2,144,116,1,40
