DATE,DAKAR,DIOURBEL,FATICK,KAFFRINE,KAOLACK,KÉDOUGOU,KOLDA,LOUGA,MATAM,SAINT LOUIS,SÉDHIOU,TAMBACOUNDA,THIÈS,ZIGUINCHOR
2020-03-29,85,26,1,0,0,0,0,0,0,2,0,0,24,3
2020-03-31,117,26,1,0,0,0,0,0,0,2,0,0,26,3
2020-04-01,131,26,1,0,0,0,0,0,0,3,0,0,26,3
2020-04-02,136,26,1,0,0,0,0,0,0,3,0,0,26,3
2020-04-03,140,26,1,0,0,0,7,0,0,3,0,1,26,3
2020-04-04,150,26,1,0,0,0,7,0,0,5,0,1,26,3
2020-04-05,153,26,1,0,0,0,7,0,0,5,0,1,26,3
2020-04-06,156,26,1,0,0,0,7,1,0,5,0,1,26,3
2020-04-07,167,26,1,0,0,0,7,1,0,5,0,1,26,3
2020-04-08,173,26,1,0,0,0,7,2,0,5,0,1,26,3
2020-04-09,176,26,1,0,0,0,7,5,0,5,0,1,26,3
2020-04-10,180,26,1,0,0,0,7,9,0,5,0,7,26,3
2020-04-14,195,27,1,0,0,0,7,27,0,5,0,8,26,3
2020-04-15,207,27,1,0,0,0,7,28,0,5,0,9,26,4
2020-04-16,215,28,1,0,0,0,7,28,0,5,0,21,26,4
2020-04-17,218,30,1,0,0,0,7,28,0,5,0,21,26,6
2020-04-18,224,31,1,0,0,0,7,29,0,5,0,21,26,6
2020-04-19,232,31,1,0,0,0,7,29,0,5,0,24,26,12
2020-04-20,236,35,1,0,0,0,7,29,0,5,0,24,26,14
2020-04-21,257,41,1,0,0,0,7,30,0,5,0,30,26,15
2020-04-22,272,50,1,0,0,0,7,30,0,5,0,36,26,15
2020-04-23,297,58,1,0,0,0,7,30,0,5,0,38,28,15
2020-04-24,341,63,1,0,0,0,7,30,0,5,0,54,29,15
2020-04-25,400,70,1,0,1,0,7,30,0,5,0,56,29,15
2020-04-26,417,93,1,0,1,0,8,30,0,5,0,58,40,15
2020-04-27,467,103,1,0,2,0,8,30,0,5,1,58,46,15
2020-04-28,515,114,1,0,2,0,8,30,0,5,26,59,48,15
2020-04-29,559,117,1,0,5,0,8,30,0,5,26,59,55,17
2020-04-30,579,131,1,0,5,0,9,31,0,5,35,63,57,17
2020-05-01,627,138,1,0,5,0,10,31,0,6,58,63,68,17
2020-05-02,669,161,1,0,5,0,13,31,0,6,60,63,89,17
2020-05-03,714,169,1,0,6,0,18,31,0,7,60,64,95,17
2020-05-04,765,181,1,0,6,0,31,31,0,7,68,64,100,17
2020-05-05,795,197,1,0,6,0,43,31,0,7,68,64,100,17
2020-05-06,869,200,1,0,6,0,60,31,0,7,76,65,100,17
2020-05-07,917,208,1,0,6,0,60,32,0,7,76,65,103,17
2020-05-08,959,218,1,0,6,0,64,32,0,7,79,64,104,17
2020-05-09,1029,226,1,0,6,0,64,32,0,7,84,64,104,17
2020-05-10,1092,238,1,0,6,0,64,32,0,7,84,64,104,17
2020-05-11,1224,259,2,0,6,0,64,32,0,7,88,69,118,17
2020-05-12,1316,270,2,0,7,0,64,32,0,7,88,69,123,17
2020-05-13,1396,290,2,0,7,0,64,32,0,7,90,76,124,17
2020-05-14,1449,313,2,0,9,0,64,32,0,7,90,76,129,18
2020-05-15,1546,321,2,0,9,0,65,32,0,7,96,81,133,18
2020-05-16,1657,326,2,0,9,0,65,33,0,7,96,81,135,18
2020-05-17,1705,329,2,0,9,0,65,33,0,7,96,81,135,18
2020-05-18,1760,333,3,0,9,0,65,33,0,7,96,85,135,18
2020-05-19,1830,335,3,0,9,0,65,34,0,7,96,85,135,18
2020-05-20,1908,342,3,0,9,0,70,38,0,7,98,85,136,18
2020-05-21,1982,345,3,0,9,0,70,38,0,7,104,85,151,18
2020-05-22,2066,346,3,0,9,0,70,38,0,7,104,85,163,18
2020-05-23,2128,347,3,0,9,1,70,38,0,7,104,85,165,19
2020-05-24,2194,351,3,0,9,1,70,38,0,7,104,85,165,20
2020-05-25,2274,351,3,0,9,1,70,38,0,7,104,85,168,20
2020-05-26,2301,355,3,0,9,1,70,38,0,7,104,85,168,20
2020-05-27,2384,363,3,0,9,1,70,38,0,7,104,85,168,21
2020-05-28,2461,367,3,0,9,1,70,38,0,7,104,85,168,35
2020-05-29,2525,374,3,0,9,1,70,38,0,7,104,85,172,41
2020-05-30,2619,382,3,1,9,1,70,38,0,7,104,85,173,43
2020-05-31,2711,399,3,2,9,1,70,38,0,7,104,85,173,43
2020-06-01,2785,403,3,2,10,1,70,38,1,7,104,85,187,43
2020-06-02,2856,411,3,2,10,1,70,39,1,7,104,85,190,57
2020-06-03,2936,417,3,3,10,1,70,41,1,7,104,85,197,57
2020-06-04,3017,418,4,3,10,1,70,41,4,7,104,85,200,57
2020-06-05,3115,433,4,3,11,1,70,41,5,7,110,85,210,60
2020-06-07,3261,447,4,3,11,1,70,41,5,7,116,85,215,62
2020-06-08,3350,449,4,3,11,1,70,41,5,7,116,85,223,62
2020-06-09,3424,460,4,3,11,1,70,41,5,7,116,85,226,63
2020-06-10,3533,466,4,3,11,1,70,41,9,7,117,85,227,66
