district,cas,lat,lon
Louga,14,15.6173263,-16.255818
Saint-Louis,139,16.0200352,-16.4933187
Ziguinchor,180,12.5598984,-16.3092032
Touba,208,14.8676422,-15.9178224
Mbour,116,14.416536,-16.9872109
Thiès,251,14.7886451,-16.9622885
Keur Massar,98,14.7863883,-17.3206958
Diamniadio,20,14.7202301,-17.1848273
Rufisque,109,14.7155603,-17.2796838
Pikine,86,14.7552617,-17.4044798
Thiaroye Gare,4,14.7573391,-17.3782683
Yeumbeul Sud,5,14.7722048,-17.3668812
Mbao,152,14.7298517,-17.3301944
Médina,54,14.682872,-17.4545829
Geule Tapé,9,14.682904,-17.4598697
Fass,11,14.6908265,-17.4570883
Colobane,13,14.6954393,-17.4470818
Plateau,135,14.660969, -17.437154
Golf Sud,5,14.7753571,-17.417768
Wakhinane Nimzatt,1,14.7869623,-17.3788744
Ndiarème Limamoulaye,1,14.7720914,-17.3787904
Yoff,55,14.7460068,-17.4951018
Mermoz,47,14.7074581,-17.4829161
Parcelles Assainies,108,14.7598766,-17.4505115
Pikine Ouest,2,14.7563423,-17.4240377
Dieuppeul,23,14.7209432,-17.4555467
Derklé,10,14.725885,-17.4501812
Hann Bel-Air,12,14.705619,-17.4374607
Soprim,5,14.750303,-17.4380298
Niary Tally,14,14.7072737,-17.4539059
Niayes-Thioker,1,14.6831562,-17.4464822
Mbacké,12,14.7998188,-15.9241886
Nioro,16,13.7453334,-15.7826688
Pout,29,14.7699723,-17.0708089
Tivaoune,90,14.95005,-16.8235338
Guédiawaye,40,14.7687671,-17.4184561
Sangalkham,24,14.7789933,-17.
Tambacounda,20,13.770897,-13.6778869
Grand Médina,5,14.7475649,-17.4487115
Sédhiou,10,12.704524,-15.5773475
Patte d'Oie,19,14.7494323,-17.4476755
Maristes,103,14.7275717,-17.4389359
Castor,9,14.7245795,-17.4532336
Darou Miname,1,14.8545176,-15.9076447
Vélingara,13,13.1458502,-14.1191911
Bene Tally,8,14.7135638,-17.4491848
Grand Yoff,39,14.7369486,-17.464522
Yeumbeul,35,14.7722048,-17.3668812
LIBERTÉ 6,69,14.7292187,-17.4713537
Ouagou Niaye,8,14.7065209,-17.449635
Liberté 3,4,14.7163995,-17.4558524
Amitié 2,3,14.6927756,-17.4652439
Dalifort,9,14.7399915,-17.4157012
Popenguine,39,14.5544566,-17.1174502
Linguère,1,15.3976035,-15.1225091
Grand Médina,1,14.7475649,-17.4509002
Faidherbe Dakar,1,14.6752544,-17.4391267
Sacré Cœur,36,14.711702,-17.4827601
Hlm grand yoff,20,14.7413678,-17.4567257
Ouakam,74,14.7215918,-17.5014482
cité keur damel,4,14.7512487,-17.4557774
Cambérène,15,14.7726743,-17.4337794
Cité Bissap,1,14.7183798,-17.45134
Almadies,41,14.7166822,-17.4698748
Ngor,30,14.7561453,-17.5231938
Libérte 4,1,14.7200883,-17.4613967
Avenue Lamine Barry,1,14.6844898,-17.4508372
Diamaguene,10,14.7480806,-17.3642044
Mamelles,26,14.7408533,-17.5387548
Mékhé,19,15.113908,-16.6425483
Thiadiaye,11,14.4204034,-16.7085315
Scat Urbam,12,14.7366172,-17.462899
Cité Apecsy,1,14.7589082,-17.4727401
Front de Terre,3,14.727446,-17.4516118
Ouest Foire,47,14.7421946,-17.479928
Cité Asecna,1,14.7302382,-17.4916828
Zone de captage,9,14.7288036,-17.4439233
Gibraltar,12,14.6864038,-17.44771
Malika,5,14.7962013,-17.3461378
Nord Foire,27,14.7524516,-17.4626603
Sicape Amitié,5,14.7047952,-17.4676207
Koungheul,2,13.9771107,-14.8092699
Yarakh,9,14.7143482,-17.4451646
Jaxaay,2,14.7750689,-17.2889883
Reubeuss,1,14.6721468,-17.4482474
HLM,23,14.7122843,-17.4531625
Bignona,71,12.80226,-16.2396067
Sacré Cœur 3,5,14.7213803,-17.4776552
Grand Dakar,18,14.7030648,-17.4638227
Bargny,5,16.6968469,-17.2399073
Diofior,4,14.1897437,-16.6684587
Matam,13,15.6540724,-13.2637168
Thilogne,2,15.9647226,-13.597126
cité keur khadim,1,14.724413,-17.4543173
Bounkiling,19,13.0382787,-15.7074881
Fann Hock,5,14.6803199,-17.467005
Cité Biagui,2,14.7512692,-17.4944317
H.L.M 5,1,14.7077206,-17.4454415
Point E,14,14.6971856,-17.4653082
SICAP Baobab,10,14.7080887,-17.4656161
Diourbel,39,14.6543384,-16.252534
Keur Mbaye Fall,5,14.7446933,-17.3185636
Richard Toll,47,16.4593388,-15.7089044
Kaolack,107,14.157296,-16.0873319
Zone B,3,14.6984816,-17.4564102
HLM Grand Médine,8,14.7593578,-17.4505693
Zone A,4,14.7049932,-17.455205
Bopp,5,14.7022517,-17.4500537
Liberté 4,8,14.7200883,-17.4613967
Cité SIPRES 2,3,14.7309559,-17.4751041
LIBERTÉ 2,6,14.7131189,-17.4636917
Cité Djily Mbaye,5,14.7606411,-17.4593616
Fatick,20,14.3344751,-16.4178872
Khombole,34,14.767014,-16.6961308
Joal,23,14.1663137,-16.8613177
Cite SIPRES,2,14.7394276,-17.2890408
Cite Sonatel,4,14.7360513,-17.469748
Oussouye,17,12.4902659,-16.548543
LIBERTÉ 1,15,14.7106437,-17.4632647
Cité Marine,1,14.7262278,-17.4540655
Centenaire,4,14.7654215,-17.4260224
Fann,15,14.689043,-17.4775037
Diouloulou,3,13.0482499,-16.6096974
Kolda,21,12.9057157,-15.0170787
Velingara,4,13.1458502,-14.1191911
Cité Comico,1,14.7881973,-17.372539
Cité Keur Gorgui,9,14.7117574,-17.4698625
Guinguinéo,7,14.2693104,-15.96262
Rebeuss,1,14.6721793,-17.448307
Liberté 5,12,14.7241941,-17.4619961
Cité Gadaye,1,14.7916469,-17.3641579
Fass Delorme,3,14.6898989,-17.4581687
Cité Batrain,1,14.7150806,-17.4800312
Sicape Foire,10,14.7151266,-17.4953521
Cité CPI,1,14.7319428,-17.4931006
Cité Apix,1,14.8097419,-17.2914415
Diakhaye,1,14.7555637,-17.2881536
Thiaroye Azur,1,14.7437432,-17.3609376
Passy,7,13.9861058,-16.2678875
Cité Impôt et Domaines,1,14.7485322,-17.4411017
Kédougou,83,12.5578251,-12.2004682
Pompiers,1,14.6731517,-17.4322371
Birkilane,2,14.1309056,-15.7484705
Cité Fadia,5,14.7616543,-17.424394
Avenue Lamine Gueye,1,14.6715543,-17.4395775
HLM 6,3,14.7036656,-17.445731
Bambilor,1,14.7996103,-17.1923658
THIONCK-ESSYL,2,12.7855116,-16.5182771
Kaffrine,4,14.1048088,-15.5624213
KANEL,2,15.4892912,-13.1851386
Ndiakhirate,1,14.7674446,-17.219366
Kébémer,2,15.3705622,-16.4620687
Amitié 1,3,14.7052135,-17.4636649
Ndofane,5,13.9184571,-15.9313345
COKI,1,15.5050172,-16.0004952
Tivaoune Peulh,1,14.7902401,-17.2451863
MALEM HODDAR,2,14.0884391,-15.3121696
Sokone,9,13.8793081,-16.3790811
Pété,2,16.1049784,-13.9526582
Hann Montagne,1,14.7330182,-17.4197667
Khar Yalla,2,14.732102,-17.4560409
Sud Foire,3,14.7398766,-17.4687646
Wagane Diouf,2,14.671923,-17.4363216
HLM 4,1,14.7109091,-17.4452484
Fann Résidence,6,14.6953389,-17.4690027
HLM 5,4,14.7077232,-17.4454415
Cité Port,4,14.7006042,-17.4475121
Saraya,19,12.8352867,-11.7606497
Cité Fayçal,1,13.501882,2.1309613
Sicap-Liberté,4,14.7106437,-17.4632647
Bambay,3,14.6973316,-16.4745785
Bourguiba,2,14.7113906,-17.4577139
Foundiougne,1,14.1226027,-16.4739347
Gossas,1,14.4928765,-16.0760844
Keur Ndiaye Lo,2,14.7430545,-17.2538201
Gorée,1,14.6672935,-17.4008531
Amitié 3,1,14.7037294,-17.4766021
Dagana,1,16.5147487,-15.5214287
Hamo 2,1,14.7561147,-17.4279012
DIAKHAO,1,14.4619282,-16.2995408
Diamalaye 2,3,14.756073,-17.4641497
Cité Nouvelle Horizon,1,14.7828581,-17.2333305
Salémata,1,12.6340568,-12.8248001
cité Douanes,2,14.7009935,-17.4458438
Sandaga,1,14.6691376,-17.4393477
Cité Aliou Sow,1,14.7718004,-17.414875
Ourossogui,1,15.6072684,-13.3289052
