DATE,BAKEL,BAMBEY,BIGNONA,BIRKELANE,BOUNKILING,COKI,DAGANA,DAHRA,DAKAR-CENTRE,DAKAR-NORD,DAKAR-OUEST,DAKAR-SUD,DAROU-MOUSTY,DIAMNIADIO,DIANKHEMAKHAN,DIOFFIOR,DIOULOULOU,DIOURBEL,FATICK,FOUNDIOUGNE,GOSSAS,GOUDIRY,GOUDOMP,GUEDIAWAYE,GUINGUINEO,JOAL,KAFFRINE,KANEL,KAOLACK,KEBEMER,KEDOUGOU,KEUR-MASSAR,KEUR-MOMAR-SARR,KHOMBOLE,KIDIRA,KOLDA,KOUNGUEUL,KOUPENTOUM,LINGUERE,LOUGA,MAKACOULIBANTANG,MALEM-HODDAR,MATAM,MBACKE,MBAO,MBOUR,MEDINA-YORO-FOULAH,MEKHE,NDOFFANE,NIAKHAR,NIORO DU RIP,OUSSOUYE,PASSY,PETE,PIKINE,PODOR,POPENGUINE,POUT,RANEROU,RICHARD-TOLL,RUFISQUE,SAINT-LOUIS,SAKAL,SALEMATA,SANGALKAM,SARAYA,SEDHIOU,SOKONE,TAMBACOUNDA,THIADIAYE,THIES,THILOGNE,THIONCK-ESSYL,TIVAOUANE,TOUBA,VELINGARA,YEUMBEUL,ZIGUINCHOR
2020-03-29,0,0,0,0,0,0,0,0,8,6,34,16,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,0,0,2,0,3,0,0,1,6,1,0,0,2,0,0,0,0,0,10,0,0,0,26,0,1,2
2020-03-31,0,0,0,0,0,0,0,0,9,6,52,28,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,3,0,3,0,0,1,6,1,0,0,2,0,0,0,0,0,10,0,0,0,26,0,1,2
2020-04-01,0,0,0,0,0,0,0,0,10,6,52,38,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,6,0,3,0,0,1,6,2,0,0,2,0,0,0,0,0,10,0,0,0,26,0,1,2
2020-04-02,0,0,0,0,0,0,0,0,10,6,54,40,0,2,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,6,0,3,0,0,1,6,2,0,0,2,0,0,0,0,0,10,0,0,0,26,0,1,2
2020-04-03,0,0,0,0,0,0,0,0,12,6,54,42,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,6,0,3,0,0,1,6,2,0,0,2,0,0,0,0,0,10,0,0,0,26,7,1,2
2020-04-04,0,0,0,0,0,0,0,0,13,6,58,46,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,6,0,3,0,0,1,6,4,0,0,2,0,0,0,0,0,10,0,0,0,26,7,1,2
2020-04-05,0,0,0,0,0,0,0,0,13,6,58,48,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,1,0,0,6,0,3,0,0,1,6,4,0,0,2,0,0,0,0,0,10,0,0,0,26,7,1,2
2020-04-06,0,0,0,0,0,0,0,0,13,5,59,48,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,13,0,0,0,0,0,1,0,0,6,0,3,0,0,1,6,4,0,0,2,0,0,0,0,0,10,0,0,0,26,7,1,2
2020-04-07,0,0,0,0,0,0,0,0,18,5,60,48,0,2,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,13,0,0,0,0,0,1,0,0,7,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,26,7,1,2
2020-04-08,0,0,0,0,0,0,0,0,18,5,61,48,0,2,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,13,0,0,0,0,0,1,0,0,9,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,26,7,3,2
2020-04-09,0,0,0,0,0,0,0,0,19,5,61,48,0,2,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,2,13,0,0,0,0,0,1,0,0,9,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,26,7,5,2
2020-04-10,0,0,0,0,0,0,0,0,19,5,62,49,0,2,0,0,0,0,1,0,0,7,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,2,13,0,0,0,0,0,1,0,0,9,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,26,7,6,2
2020-04-14,0,0,0,0,0,0,0,0,20,9,62,52,0,2,0,0,0,0,1,0,0,8,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,0,0,0,4,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,27,7,7,2
2020-04-15,0,0,0,0,0,0,0,0,20,15,62,52,0,2,0,0,0,0,1,0,0,9,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28,0,0,0,0,4,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,27,7,13,3
2020-04-16,0,0,0,0,0,0,0,0,20,15,62,54,0,2,0,0,0,0,1,0,0,21,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,28,0,0,0,0,8,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,28,7,14,3
2020-04-17,0,0,0,0,0,0,0,0,20,15,62,57,0,2,0,0,0,0,1,0,0,21,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,28,0,0,0,0,8,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,30,7,14,5
2020-04-18,0,0,0,0,0,0,0,0,20,16,62,61,0,2,0,0,0,0,1,0,0,21,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,0,8,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,31,7,15,5
2020-04-19,0,0,0,0,0,0,0,0,22,16,62,66,0,2,0,0,0,0,1,0,0,24,0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,0,8,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,31,7,15,11
2020-04-20,0,0,0,0,0,0,0,0,22,17,62,68,0,2,0,0,0,0,1,0,0,24,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,0,8,13,0,0,0,0,0,1,0,0,11,0,3,0,0,1,6,4,0,0,6,0,0,0,0,0,10,0,0,0,35,7,15,13
2020-04-21,0,0,0,0,0,0,0,0,26,17,65,71,0,2,0,0,0,0,1,0,0,30,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,4,8,13,0,0,0,0,0,1,0,0,18,0,3,0,0,1,6,4,1,0,6,0,0,0,0,0,10,0,0,0,37,7,15,14
2020-04-22,0,0,0,0,0,0,0,0,28,18,68,75,0,2,0,0,0,0,1,0,0,36,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,6,12,13,0,0,0,0,0,1,0,0,18,0,3,0,0,1,6,4,1,0,6,0,0,0,0,0,10,0,0,0,44,7,16,14
2020-04-23,0,0,0,0,0,0,0,0,29,22,70,87,0,2,0,0,0,0,1,0,0,38,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,7,16,13,0,0,0,0,0,1,0,0,19,0,3,0,0,1,7,4,1,0,6,0,0,0,0,0,11,0,0,1,51,7,16,14
2020-04-24,0,0,0,0,0,0,0,0,42,43,73,90,0,2,0,0,0,0,1,0,0,54,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,8,17,13,0,0,0,0,0,1,0,0,20,0,3,1,0,1,9,4,1,0,6,0,0,0,0,0,11,0,0,1,55,7,16,14
2020-04-25,0,0,0,0,0,0,0,0,55,52,78,109,0,2,0,0,0,0,1,0,0,56,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,9,22,13,0,0,0,0,1,1,0,0,25,0,3,1,0,1,9,4,1,0,6,0,0,0,0,0,11,0,0,1,61,7,17,14
2020-04-26,0,0,0,0,0,0,0,0,55,56,82,109,0,2,0,0,0,0,1,0,0,58,0,21,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,29,0,0,0,17,26,16,0,0,0,0,1,1,0,0,27,0,3,7,0,1,9,4,1,0,7,0,0,0,1,0,13,0,0,1,76,8,17,14
2020-04-27,0,0,0,0,0,0,0,0,68,62,81,118,0,5,0,0,0,0,1,0,0,57,0,23,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,29,0,0,0,17,33,16,0,0,0,0,1,1,0,0,32,0,3,13,0,1,10,4,1,0,9,0,1,0,1,0,13,0,0,1,86,8,20,14
2020-04-28,0,0,0,0,0,0,0,0,83,67,104,123,0,5,0,0,0,0,1,0,0,58,0,23,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,29,0,0,0,17,33,16,0,0,0,0,1,1,0,0,32,0,3,14,0,1,10,4,1,0,9,0,26,0,1,0,14,0,0,1,97,8,20,14
2020-04-29,0,0,0,0,0,0,0,0,83,75,116,143,0,5,0,0,2,0,1,0,0,58,0,26,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,29,0,0,0,17,33,16,0,0,0,0,3,1,0,0,32,0,3,14,0,1,10,4,1,0,9,0,26,0,1,0,21,0,0,1,100,8,21,14
2020-04-30,0,0,0,0,0,0,0,0,86,79,119,146,0,5,0,0,2,0,1,0,0,62,0,28,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,30,0,0,0,17,34,16,0,0,0,0,3,1,0,0,33,0,3,16,0,1,13,4,1,0,9,0,35,0,1,0,21,0,0,1,114,9,21,14
2020-05-01,0,0,0,0,0,0,0,0,97,92,129,157,0,5,0,0,2,0,1,0,0,62,0,29,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,30,0,0,0,19,35,16,0,0,0,0,3,1,0,0,34,0,3,19,0,1,13,5,1,0,9,0,58,0,1,0,29,0,0,1,119,10,21,14
2020-05-02,0,0,0,0,0,0,0,0,110,99,130,164,0,5,0,0,2,0,1,0,0,62,0,34,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,30,0,0,0,21,39,16,0,0,0,0,3,1,0,0,36,0,3,39,0,1,14,5,1,0,9,0,60,0,1,0,30,0,0,1,140,13,21,14
2020-05-03,0,0,0,0,0,0,0,0,113,99,166,164,0,6,0,0,2,0,1,0,0,63,0,34,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,30,0,0,0,25,39,16,0,0,0,0,3,1,0,0,39,0,3,44,0,1,15,6,1,0,10,0,60,0,1,0,31,0,0,1,144,18,21,14
2020-05-04,0,0,0,0,0,0,0,0,133,112,169,172,0,6,0,0,2,0,1,0,0,63,0,34,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,30,0,0,0,29,39,17,0,0,0,0,3,1,0,0,39,0,3,44,0,1,21,6,1,0,10,0,68,0,1,0,35,0,0,1,152,31,21,14
2020-05-05,0,0,0,0,0,0,0,0,135,115,174,173,0,16,0,0,2,0,1,0,0,63,0,36,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,30,0,0,0,35,42,17,0,0,0,0,3,1,0,0,39,0,3,44,0,1,21,6,1,0,13,0,68,0,1,0,35,0,0,1,162,43,22,14
2020-05-06,0,0,0,0,0,0,0,0,137,115,224,190,0,17,0,0,2,0,1,0,0,64,0,38,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,30,0,0,0,35,43,17,0,0,0,0,3,1,0,0,39,0,3,44,0,1,21,6,1,0,13,0,76,0,1,0,35,0,0,1,165,60,23,14
2020-05-07,0,0,0,0,0,0,0,0,142,119,233,210,0,18,0,0,2,1,1,0,0,63,0,38,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,31,0,0,0,35,43,18,0,0,0,0,3,1,0,0,40,0,3,45,0,1,23,6,1,0,18,0,76,0,1,0,36,0,0,1,172,60,24,14
2020-05-08,0,0,0,0,0,0,0,0,148,126,239,224,0,18,0,0,2,1,1,0,0,63,0,40,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,31,0,0,0,37,45,18,0,0,0,0,3,1,0,0,40,0,3,45,0,1,23,6,1,0,21,0,79,0,1,0,37,0,0,1,180,64,26,14
2020-05-09,0,0,0,0,0,0,0,0,163,132,258,232,0,18,0,0,2,1,1,0,0,63,0,40,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,31,0,0,0,39,48,18,0,0,0,0,3,1,0,0,40,0,3,45,0,1,35,6,1,0,28,0,84,0,1,0,37,0,0,1,186,64,26,14
2020-05-10,0,0,0,0,0,0,0,0,173,135,269,238,0,18,0,0,2,1,1,0,0,63,0,42,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,31,0,0,0,39,49,18,0,0,0,0,3,1,0,0,41,0,3,45,0,1,41,6,1,0,50,0,84,0,1,0,37,0,0,1,198,64,27,14
