district,cas,lat,lon
DAKAR-OUEST,797,14.7392412,-17.5003757
DAKAR-SUD,753,14.6610412,-17.4393097
TOUBA,467,14.8676422,-15.9178224
MBOUR,30,14.416536,-16.9872109
DAKAR-CENTRE,754,14.7136992,-17.4391817
THIES,105,14.7886451,-16.9622885
DAKAR-NORD,751,14.7539212,-17.4439577
GUEDIAWAYE,254,14.7687671,-17.4184561
PIKINE,130,14.7552617,-17.4044798
RUFISQUE,155,14.7155603,-17.2796838
POPENGUINE,55,14.5544566,-17.1174502
ZIGUINCHOR,64,12.5598984,-16.3092032
DIAMNIADIO,72,14.7202301,-17.1848273
MBAO,186,14.7298723,-17.3345718
SAINT-LOUIS,6,16.0200352,-16.4933187
SANGALKHAM,120,14.7789933,-17.2347677
FATICK,5,14.3344751,-16.4178872
OUSSOUYE,7,12.4902659,-16.548543
RICHAR-TOLL,4,16.4593388,-15.7089044
YEUMBEUL,100,14.7722048,-17.3668812
VELINGARA,70,13.1458502,-14.1191911
GOUDIRY,63,14.1837625,-12.7233482
KEUR-MASSAR,114,14.7863883,-17.3206958
LOUGA,31,15.6173263,-16.255818
MBACKE,50,14.7998193,-15.9154337
SAKAL,1,15.527112,-16.0289145
TIVAOUANE,39,14.95005,-16.8235338
POUT,55,14.7699718,-17.0795638
NIORO DU RIP,4,13.7453334,-15.7826688
KAOLACK,18,14.157296,-16.0873319
TAMBACOUNDA,22,13.7709382,-13.6866417
SEDHIOU,108,12.7045244,-15.5685926
DIOULOULOU,4,13.0482499,-16.6096974
DIOURBEL,8,14.6542949,-16.2700445
DIAKHAO,1,14.4619282,-16.2995408
LINGUÈRE,6,15.3975823,-15.131264
THIADIAYE,3,14.4203821,-16.7172863
MÉKHÉ,6,15.1138868,-16.6513031
KÉDOUGOU,1,12.5578251,-12.2004686
KHOMBOLE,6,14.7669928,-16.7048856
KOUNGUEUL,3,13.9771107,-14.8092699
RANÉROU,1,15.2965208,-13.9660264
JOAL,2,14.1662721,-16.8613178
BIGNONA,7,12.80226,-16.2396067
COKI,2,15.5050172,-16.0004952
BIRKELANE,1,14.1309056,-15.7484705
DAROU MOUSTY,1,15.0425216,-16.0572482
THILOGNE,2,15.9647226,-13.597126
MATAM,12,15.6540724,-13.2637168
DIOFFIOR,1,14.1897437,-16.6684587
BOUNKILING,10,13.0382573,-15.716243
KÉBÉMER,1,15.3705622,-16.4620687
GOSSAS,2,14.4928552,-16.0848392
BAMBEY,1,14.6973316,-16.4745785
